,index,artist,album,song,lyrics
2989,4718,Taylor Swift,Speak Now (Taylor's Version),Mine (Taylor's Version),"ah-ah, ah  ah-ah, ah  you were in college, working part-time, waiting tables left a small town, never looked back i was a flight risk, with a fear of falling wondering why we bother with love, if it never lasts  i say, ""can you believe it?"" as we're lying on the couch the moment, i can see it yes, yes, i can see it now  do you remember we were sitting there by the water? you put your arm around me for the first time you made a rebel of a careless man's careful daughter you are the best thing that's ever been mine  flash forward, and we're taking on the world together and there's a drawer of my things at your place ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2990,4719,Taylor Swift,Speak Now (Taylor's Version),Sparks Fly (Taylor’s Version),"the way you move is like a full-on rainstorm, and i'm a house of cards you're the kind of reckless that should send me running but i kinda know that i won't get far and you stood there in front of me, just close enough to touch close enough to hope you couldn't see what i was thinking of  drop everything now, meet me in the pouring rain kiss me on the sidewalk, take away the pain 'cause i see sparks fly whenever you smile get me with those green eyes, baby, as the lights go down give me something that'll haunt me when you're not around 'cause i see sparks fly whenever you smile  my mind forgets to remind me you're a bad idea ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2991,4720,Taylor Swift,Speak Now (Taylor's Version),Back To December (Taylor's Version),"i'm so glad you made time to see me how's life? tell me, how's your family? i haven't seen them in a while you've been good, busier than ever we small talk, work and the weather your guard is up and i know why  because the last time you saw me is still burned in the back of your mind you gave me roses and i left them there to die  so this is me swallowin' my pride standin' in front of you, sayin' i'm sorry for that night and i go back to december all the time it turns out freedom ain't nothin' but missin' you wishin' i'd realized what i had when you were mine i'd go back to december, turn around and make it alright i go back to december all the time  ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2992,4721,Taylor Swift,Speak Now (Taylor's Version),Speak Now (Taylor's Version),"i am not the kind of girl who should be rudely barging in on a white-veil occasion but you are not the kind of boy who should be marrying the wrong girl  i sneak in and see your friends and her snotty little family all dressed in pastel and she is yelling at a bridesmaid somewhere back inside a room, wearing a gown shaped like a pastry  this is surely not what you thought it would be i lose myself in a daydream where i stand and say  don't say, ""yes,"" run away now i'll meet you when you're out of the church at the back door don't wait or say a single vow you need to hear me out, and they said, ""speak now""  fond gestures are exchanged ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2993,4722,Taylor Swift,Speak Now (Taylor's Version),Dear John (Taylor's Version),"long were the nights when my days once revolved around you  counting my footsteps, praying the floor won't fall through again and my mother accused me of losing my mind but i swore i was fine  you paint me a blue sky and go back and turn it to rain and i lived in your chess game, but you changed the rules every day wondering which version of you i might get on the phone tonight well, i stopped picking up, and this song is to let you know why  dear john, i see it all now that you're gone don't you think i was too young to be messed with? the girl in the dress cried the whole way home i should've known  well, maybe it's me and my blind optimism to blame ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2994,4723,Taylor Swift,Speak Now (Taylor's Version),Mean (Taylor's Version),"you, with your words like knives and swords and weapons that you use against me you have knocked me off my feet again got me feeling like a nothing you, with your voice like nails on a chalkboard calling me out when i'm wounded you, picking on the weaker man  well, you can take me down with just one single blow but you don't know what you don't know  someday, i'll be living in a big old city and all you're ever gonna be is mean someday, i'll be big enough so you can't hit me and all you're ever gonna be is mean why you gotta be so mean?  you, with your switching sides and your wildfire lies and your humiliation ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2995,4724,Taylor Swift,Speak Now (Taylor's Version),The Story Of Us (Taylor's Version),"i used to think one day we'd tell the story of us how we met and the sparks flew instantly and people would say, ""they're the lucky ones""  i used to know my place was the spot next to you now i'm searching the room for an empty seat 'cause lately, i don't even know what page you're on  oh, a simple complication miscommunications lead to fallout so many things that i wish you knew so many walls up, i can't break through  now i'm standing alone in a crowded room, and we're not speaking  and i'm dying to know, is it killing you like it's killing me? yeah  i don't know what to say since the twist of fate when it all broke down and the story of us looks a lot like a tragedy now  next chapter ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2996,4725,Taylor Swift,Speak Now (Taylor's Version),Never Grow Up (Taylor's Version),"your little hand's wrapped around my finger and it's so quiet in the world tonight your little eyelids flutter 'cause you're dreaming so i tuck you in, turn on your favorite nightlight  to you, everything's funny you got nothing to regret i'd give all i have, honey if you could stay like that  oh, darling, don't you ever grow up don't you ever grow up, just stay this little oh, darling, don't you ever grow up don't you ever grow up, it could stay this simple  i won't let nobody hurt you won't let no one break your heart and no one will desert you just try to never grow up  and never grow up  you're in the car, on the way to the movies and you're mortified your mom's droppin' you off at fourteen, there's just so much you can't do ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2997,4726,Taylor Swift,Speak Now (Taylor's Version),Enchanted (Taylor's Version),"there i was again tonight forcing laughter, faking smiles same old tired, lonely place walls of insincerity shifting eyes and vacancy vanished when i saw your face all i can say is it was enchanting to meet you  your eyes whispered, ""have we met?"" across the room, your silhouette starts to make its way to me the playful conversation starts counter all your quick remarks like passing notes in secrecy  and it was enchanting to meet you all i can say is i was enchanted to meet you  this night is sparkling, don't you let it go i'm wonderstruck, blushing all the way home i'll spend forever wondering if you knew ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2998,4727,Taylor Swift,Speak Now (Taylor's Version),Better Than Revenge (Taylor's Version),"now go stand in the corner and think about what you did ha ha-ha, time for a little revenge  the story starts when it was hot, and it was summer, and i had it all, i had him right there where i wanted him she came along, got him alone, and let's hear the applause she took him faster than you could say, ""sabotage"" i never saw it coming, wouldn't have suspected it i underestimated just who i was dealing with (oh) she had to know the pain was beating on me like a drum she underestimated just who she was stealing from  she's not a saint, and she's not what you think she's an actress, whoa he was a moth to the flame she was holding the matches, whoa soon she's gonna find stealing other people's toys on the playground won't make you many friends she should keep in mind, she should keep in mind there is nothing i do better than revenge (revenge), ha  ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2999,4728,Taylor Swift,Speak Now (Taylor's Version),Innocent (Taylor's Version),"i guess you really did it this time left yourself in your warpath lost your balance on a tightrope lost your mind tryin' to get it back  wasn't it easier in your lunchbox days? always a bigger bed to crawl into wasn't it beautiful when you believed in everything and everybody believed in you?  it's alright, just wait and see your string of lights is still bright to me oh, who you are is not where you've been you're still an innocent you're still an innocent  did some things you can't speak of but at night you live it all again you wouldn't be shattered on the floor now ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3000,4729,Taylor Swift,Speak Now (Taylor's Version),Haunted (Taylor's Version),"you and i walk a fragile line i have known it all this time but i never thought i'd live to see it break it's getting dark and it's all so quiet and i can't trust anything now and it's coming over you like it's all a big mistake  oh, holding my breath won't lose you again something's made your eyes go cold  come on, come on, don't leave me like this i thought i had you figured out something's gone terribly wrong you're all i wanted come on, come on, don't leave me like this i thought i had you figured out can't breathe whenever you're gone can't turn back now, i'm haunted  ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3001,4730,Taylor Swift,Speak Now (Taylor's Version),Last Kiss (Taylor's Version),"i still remember the look on your face lit through the darkness at 1:58 the words that you whispered for just us to know you told me you loved me so why did you go away? away  i do recall now, the smell of the rain fresh on the pavement, i ran off the plane that july ninth, the beat of your heart it jumps through your shirt i can still feel your arms  but now i'll go sit on the floor wearing your clothes all that i know is i don't know how to be something you miss  i never thought we'd have a last kiss i never imagined we'd end like this your name, forever the name on my lips ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3002,4731,Taylor Swift,Speak Now (Taylor's Version),Long Live (Taylor's Version),"i said, ""remember this moment"" in the back of my mind the time we stood with our shaking hands the crowds in stands went wild  we were the kings and the queens and they read off our names the night you danced like you knew our lives would never be the same  you held your head like a hero on a history book page it was the end of a decade but the start of an age  long live the walls we crashed through how the kingdom lights shined just for me and you i was screaming, ""long live all the magic we made and bring on all the pretenders"" one day, we will be remembered  i said, ""remember this feeling"" i passed the pictures around of all the years that we stood there on the sidelines wishing for right now  we are the kings and the queens ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3003,4732,Taylor Swift,Speak Now (Taylor's Version),Ours (Taylor’s Version),"elevator buttons and morning air strangers' silence makes me wanna take the stairs if you were here, we'd laugh about their vacant stares but right now, my time is theirs  seems like there's always someone who disapproves they'll judge it like they know about me and you and the verdict comes from those with nothing else to do the jury's out, but my choice is you  so don't you worry your pretty little mind people throw rocks at things that shine and life makes love look hard the stakes are high, the water's rough but this love is ours ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3004,4733,Taylor Swift,Speak Now (Taylor's Version),Superman (Taylor’s Version),"tall, dark, and superman he puts papers in his briefcase and drives away to save the world or go to work it's the same thing to me he's got his mother's eyes, his father's ambition i wonder if he knows how much that i miss him i hang on every word you say, yeah  and you'll smile and say, ""how are you?"" and i'll say, ""just fine"" i always forget to tell you, ""i love you i love you forever""  i watch superman fly away you got a busy day today go save the world, i'll be around and i watch superman fly away come back, i'll be with you someday i'll be right here on the ground when you come back down  tall, dark, and beautiful ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3005,4734,Taylor Swift,Speak Now (Taylor's Version),Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),"just breathe, just relax, it'll be okay just an hour 'til your car's in the driveway just the first time ever hanging out with you tonight  i've got my money on things goin' badly got a history of stories ending sadly still hoping that the fire won't burn me just one time, just one time  all i know is this could either break my heart or bring it back to life got a feelin' your electric touch could fill this ghost town up with life and i want you now, wanna need you forever in the heat of your electric touch, mm-mm  ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3006,4735,Taylor Swift,Speak Now (Taylor's Version),When Emma Falls in Love (Taylor’s Version) (From The Vault),"when emma falls in love, she paces the floor closes the blinds and locks the door  when emma falls in love, she calls up her mom jokes about the ways that this one could go wrong  she waits and takes her time 'cause little miss sunshine always thinks it's gonna rain  when emma falls in love, i know that boy will never be the same  'cause she's the kind of book that you can't put down like if cleopatra grew up in a small town and all the bad boys would be good boys if they only had a chance to love her and to tell you the truth, sometimes i wish i was her  ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3007,4736,Taylor Swift,Speak Now (Taylor's Version),I Can See You (Taylor’s Version) (From The Vault),"i-i-i-i  you brush past me in the hallway and you don't think i-i-i can see ya, do ya? i've been watching you for ages and i spend my time trying not to feel it  but what would you do if i went to touch ya now? what would you do if they never found us out? what would you do if we never made a sound?  'cause i can see you waiting down the hall from me and i could see you up against the wall with me and what would you do? baby, if you only knew that i can see you  i-i-i-i  and we kept everything professional but something's changed, it's something i-i like they keep watchful eyes on us ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3008,4737,Taylor Swift,Speak Now (Taylor's Version),Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),"once, i had an empire in a golden age i was held up so high, i used to be great they used to cheer when they saw my face now, i fear i have fallen from grace  and i feel like my castle's crumbling down and i watch all my bridges burn to the ground and you don't want to know me i will just let you down you don't wanna know me now  once, i was the great hope for a dynasty crowds would hang on my words, and they trusted me their faith was strong, but i pushed it too far ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3009,4738,Taylor Swift,Speak Now (Taylor's Version),Foolish One (Taylor’s Version) (From The Vault),"my cards are on the table, yours are in your hand chances are, tonight, you've already got plans and chances are i will talk myself to sleep again  you give me just enough attention to keep my hopes too high wishful thoughts forget to mention when something's really not right and i will block out these voices of reason in my head  and the voices say, ""you are not the exception you will never learn your lesson""  foolish one stop checking your mailbox for confessions of love that ain't never gonna come you will take the long way, you will take the long way down  you know how to keep me waiting, i know how to act like i'm fine don't know what to call this situation, but i know i can't call you mine and it's delicate, but i will do my best to seem bulletproof  'cause when my head is on your shoulder, it starts thinking you'll come around and maybe someday when we're older, this is something we'll laugh about over coffee every morning while you're watching the news  ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3010,4739,Taylor Swift,Speak Now (Taylor's Version),Timeless (Taylor’s Version) (From The Vault),"down the block there's an antique shop and something in my head said ""stop"", so i walked in on the counter was a cardboard box and the sign said photos 25 cents each  black and white saw a 30s bride and two lovers laughing on the porch of their first house the kind of love that you only find once in a lifetime the kind you don't put down  and that's when i called you, and it's so hard to explain but in those photos, i saw us instead and somehow i know that you and i would've found each other in another life you still would've turned my head  even if we'd met on a crowded street in 1944 and you were headed off to fight in the war you still would've been mine we would've been timeless  i would've read your love letters every single night and prayed to god you'd be coming home all right and you would've been fine, we would've been timeless  'cause i believe that we were supposed to find this so even in a different life you still would've been mine we would've been timeless ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3011,4783,Taylor Swift,Midnights,Lavender Haze,"meet me at midnight  staring at the ceiling with you oh, you don't ever say too much and you don't really read into my melancholia  i've been under scrutiny (yeah, oh, yeah) you handle it beautifully (yeah, oh, yeah) all this shit is new to me (yeah, oh, yeah)  i feel the lavender haze creeping up on me surreal, i'm damned if i do give a damn what people say no deal, the 1950s shit they want from me i just wanna stay in that lavender haze  all they keep asking me (all they keep asking me) ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3012,4784,Taylor Swift,Midnights,Maroon,"when the morning came we were cleaning incense off your vinyl shelf 'cause we lost track of time again laughing with my feet in your lap like you were my closest friend  ""how'd we end up on the floor anyway?"" you say ""your roommate's cheap-ass screw top rosé"" ""that's how"" i see you every day now  and i chose you the one i was dancing with in new york no shoes looked up at the sky and it was the burgundy on my t-shirt when you splashed your wine into me and how the blood rushed into my cheeks, so scarlet it was the mark they saw on my collarbone the rust that grew between telephones the lips i used to call home ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3013,4785,Taylor Swift,Midnights,Anti-Hero,"i have this thing, where i get older but just never wiser midnights become my afternoons when my depression works the graveyard shift, all of the people i've ghosted stand there in the room  i should not be left to my own devices they come with prices and vices i end up in crisis (tale as old as time) i wake up screaming from dreaming one day, i'll watch as you're leaving 'cause you got tired of my scheming (for the last time)  it's me, hi i'm the problem, it's me at teatime everybody agrees i'll stare directly at the sun but never in the mirror it must be exhausting, always rooting for the anti-hero ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3014,4786,Taylor Swift,Midnights,Snow On The Beach (feat. Lana Del Rey),"one night a few moons ago i saw flecks of what could've been lights but it might just have been you passing by unbeknownst to me life is emotionally abusive and time can't stop me quite like you did and my flight was awful, thanks for asking i'm unglued, thanks to you  and it's like snow at the beach weird, but fuckin' beautiful flying in a dream stars by the pocketful you wanting me tonight feels impossible but it's comin' down, no sound, it's all around like snow on the beach like snow on the beach like snow on the beach like snow  this scene feels like what i once saw on a screen i searched 'aurora borealis green' ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3015,4787,Taylor Swift,Midnights,"You're On Your Own, Kid","summer went away, still, the yearning stays i play it cool with the best of them i wait patiently, he's gonna notice me it's okay, we're the best of friends anyway  i hear it in your voice, you're smoking with your boys i touch my phone as if it's your face i didn't choose this town, i dream of getting out there's just one who could make me stay all my days  from sprinkler splashes to fireplace ashes i waited ages to see you there i search the party of better bodies just to learn that you never cared  ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3016,4788,Taylor Swift,Midnights,Midnight Rain,"rain, he wanted it comfortable i wanted that pain he wanted a bride i was making my own name chasing that fame he stayed the same all of me changed like midnight  my town was a wasteland full of cages, full of fences pageant queens and big pretenders but for some, it was paradise  my boy was a montage a slow-motion, love potion jumping off things in the ocean i broke his heart 'cause he was nice  he was sunshine, i was midnight rain he wanted it comfortable i wanted that pain he wanted a bride ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3017,4789,Taylor Swift,Midnights,Question...?,"i remember  good girl, sad boy, big city, wrong choices we had one thing goin' on, i swear that it was somethin' 'cause i don't remember who i was before you painted all my nights a color i've searched for since, but one thing after another fuckin' situations, circumstances, miscommunications and i have to say, by the way i just may like some explanations  can i ask you a question? did you ever have someone kiss you in a crowded room and every single one of your friends was makin' fun of you but 15 seconds later, they were clappin' too?  then what did you do? did you leave her house in the middle of the night? (oh) did you wish you'd put up more of a fight, oh ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3018,4790,Taylor Swift,Midnights,Vigilante Shit,"draw the cat eye, sharp enough to kill a man you did some bad things, but i'm the worst of them sometimes i wonder which one will be your last lie they say looks can kill and i might try i don't dress for women i don't dress for men lately, i've been dressing for revenge  i don't start shit, but i can tell you how it ends don't get sad, get even so on the weekends i don't dress for friends lately, i've been dressing for revenge  she needed cold hard proof so i gave her some ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3019,4791,Taylor Swift,Midnights,Bejeweled,"baby love, i think i've been a little too kind didn't notice you walking all over my peace of mind in the shoes i gave you as a present putting someone first only works when you're in their top 5 and by the way i'm going out tonight  best believe i'm still bejeweled when i walk in the room i can still make the whole place shimmer and when i meet the band they ask, ""do you have a man?"" i could still say, ""i don't remember"" familiarity breeds contempt don't put me in the basement when i want the penthouse of your heart diamonds in my eyes i polish up real i polish up real nice  nice!  baby boy, i think i've been too good of a girl (too good of a girl) did all the extra credit then got graded on a curve i think it's time to teach some lessons ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3020,4792,Taylor Swift,Midnights,Labyrinth,"it only hurts this much right now was what i was thinking the whole time breathe in, breathe through breathe deep, breathe out i'll be getting over you my whole life you know how scared i am of elevators never trust it if it rises fast it can't last  uh oh, i'm falling in love oh no, i'm falling in love again oh, i'm falling in love i thought the plane was going down how'd you turn it right around  ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3021,4793,Taylor Swift,Midnights,Karma,"you're talking shit for the hell of it addicted to betrayal, but you're relevant you're terrified to look down 'cause if you dare, you'll see the glare of everyone you burned just to get there it's coming back around  and i keep my side of the street clean you wouldn't know what i mean  'cause karma is my boyfriend karma is a god karma is the breeze in my hair on the weekend karma's a relaxing thought aren't you envious that for you it's not? sweet like honey, karma is a cat purring in my lap 'cause it loves me flexing like a goddamn acrobat me and karma vibe like that  spider-boy, king of thieves weave your little webs of opacity my pennies made your crown ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3022,4794,Taylor Swift,Midnights,Sweet Nothing,"i spy with my little tired eye, tiny as a firefly a pebble that we picked up last july down deep inside your pocket, we almost forgot it does it ever miss wicklow sometimes? ooh, ooh  they said the end is comin', everyone's up to somethin' i find myself runnin' home to your sweet nothings outside, they're push and shovin', you're in the kitchen hummin' all that you ever wanted from me was sweet nothin'  on the way home, i wrote a poem you say, ""what a mind"" ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3023,4795,Taylor Swift,Midnights,Mastermind,"once upon a time the planets and the fates and all the stars aligned you and i ended up in the same room at the same time  and the touch of a hand lit the fuse of a chain reaction of countermoves to assess the equation of you checkmate, i couldn't lose  what if i told you none of it was accidental? and the first night that you saw me nothing was gonna stop me i laid the groundwork, and then just like clockwork the dominoes cascaded in a line what if i told you i'm a mastermind? and now you're mine it was all by design ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3024,4796,Taylor Swift,Red (Taylor's Version),State Of Grace (Taylor's Version),"i'm walking fast through the traffic lights busy streets and busy lives and all we know is touch and go we are alone with our changing minds we fall in love 'til it hurts or bleeds or fades in time  and i never (i never) saw you coming and i'll never (never) be the same  you come around and the armor falls pierce the room like a cannonball now all we know is don't let go we are alone, just you and me up in your room and our slates are clean ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3025,4797,Taylor Swift,Red (Taylor's Version),Red (Taylor's Version),"loving him is like driving a new maserati down a dead-end street faster than the wind, passionate as sin, ending so suddenly loving him is like tryna change your mind once you're already flying through the free fall like the colors in autumn, so bright just before they lose it all  losing him was blue like i'd never known missing him was dark gray, all alone forgetting him was like tryna know somebody you never met but loving him was red (red, red) (red, red) but loving him was red (red, red) (red, red)  touching him was like realizing all you ever wanted was right there in front of you memorizing him was as easy as knowing all the words to your old favorite song ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3026,4798,Taylor Swift,Red (Taylor's Version),Treacherous (Taylor's Version),"put your lips close to mine as long as they don't touch out of focus, eye to eye 'til the gravity's too much  and i'll do anything you say if you say it with your hands and i'd be smart to walk away but you're quicksand  this slope is treacherous this path is reckless this slope is treacherous and i, i, i like it  i can't decide if it's a choice getting swept away i hear the sound of my own voice asking you to stay ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3027,4799,Taylor Swift,Red (Taylor's Version),I Knew You Were Trouble (Taylor's Version),"once upon a time, a few mistakes ago i was in your sights, you got me alone you found me, you found me, you found me i guess you didn't care, and i guess i liked that and when i fell hard, you took a step back without me, without me, without me  and he's long gone when he's next to me and i realize the blame is on me  'cause i knew you were trouble when you walked in so shame on me now flew me to places i'd never been 'til you put me down, oh  i knew you were trouble when you walked in so, shame on me now flew me to places i'd never been now i'm lying on the cold hard ground  oh, oh (trouble, trouble, trouble) ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3028,4800,Taylor Swift,Red (Taylor's Version),All Too Well (Taylor's Version),"i walked through the door with you, the air was cold but something 'bout it felt like home somehow and i left my scarf there at your sister's house and you've still got it in your drawer, even now  oh, your sweet disposition and my wide-eyed gaze we're singing in the car, getting lost upstate autumn leaves falling down like pieces into place and i can picture it after all these days  and i know it's long gone and that magic's not here no more and i might be okay, but i'm not fine at all, oh  'cause there we are again on that little town street you almost ran the red 'cause you were looking over at me wind in my hair, i was there, i remember it all too well  photo album on the counter, your cheeks were turning red you used to be a little kid with glasses in a twin-sized bed ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3029,4801,Taylor Swift,Red (Taylor's Version),22 (Taylor's Version),"it feels like a perfect night to dress up like hipsters and make fun of our exes ah-ah, ah-ah  it feels like a perfect night for breakfast at midnight to fall in love with strangers ah-ah, ah-ah  yeah, we're happy, free, confused and lonely at the same time it's miserable and magical, oh yeah tonight's the night when we forget about the deadlines it's time, oh-oh  i don't know about you but i'm feeling 22 everything will be alright if you keep me next to you you don't know about me but i'll bet you want to everything will be alright if we just keep dancing like we're  22 22  it seems like one of those nights this place is too crowded too many cool kids (""who's taylor swift anyway? ew"") ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3030,4802,Taylor Swift,Red (Taylor's Version),I Almost Do (Taylor's Version),"i bet, this time of night you're still up i bet, you're tired from a long hard week i bet, you're sittin' in your chair by the window looking out at the city and i bet, sometimes you wonder 'bout me  and i just wanna tell you it takes everything in me not to call you and i wish i could run to you and i hope you know that every time i don't i almost do i almost do i bet, you think i either moved on or hate you 'cause each time you reach out there's no reply ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3031,4803,Taylor Swift,Red (Taylor's Version),We Are Never Ever Getting Back Together (Taylor's Version),"i remember when we broke up the first time saying, ""this is it, i've had enough"" 'cause like, we hadn't seen each other in a month when you said you needed space what?  then you come around again and say ""baby, i miss you, and i swear i'm gonna change, trust me"" remember how that lasted for a day? i say, ""i hate you"", we break up, you call me, ""i love you""  ooh, oh-oh-oh-oh we called it off again last night but ooh, oh-oh-oh-oh this time, i'm telling you, i'm telling you  we are never, ever, ever getting back together we are never, ever, ever getting back together you go talk to your friends, talk to my friends, talk to me but we are never, ever, ever, ever getting back together ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3032,4804,Taylor Swift,Red (Taylor's Version),Stay Stay Stay (Taylor's Version),"i'm pretty sure we almost broke up last night i threw my phone across the room at you i was expecting some dramatic turn away but you stayed  this morning i said we should talk about it 'cause i read you should never leave a fight unresolved that's when you came in wearing a football helmet and said, ""okay, let's talk"" and i said  stay, stay, stay i've been loving you for quite some time, time, time you think that it's funny when i'm mad, mad, mad but i think that it's best if we both stay  before you, i'd only dated self-indulgent takers ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3033,4805,Taylor Swift,Red (Taylor's Version),The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),"i find myself at your door just like all those times before i'm not sure how i got there all roads, they lead me here i imagine you are home in your room, all alone and you open your eyes into mine and everything feels better  and right before your eyes i'm breaking no past, no reasons why just you and me  this is the last time i'm asking you this put my name at the top of your list this is the last time i'm asking you why you break my heart in the blink of an eye, eye, eye  you find yourself at my door and just like all those times before you wear your best apology but i was there to watch you leave and all the times i let you in ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3034,4806,Taylor Swift,Red (Taylor's Version),Holy Ground (Taylor's Version),"i was reminiscing just the other day while having coffee all alone, and lord, it took me away back to a first glance feeling on new york time back when you fit my poems like a perfect rhyme  took off faster than a green light, go yeah, you skip the conversation when you already know i left a note on the door with a joke we'd made and that was the first day  and darling, it was good never looking down and right there where we stood was holy ground  spinning like a girl in a brand-new dress we had this big wide city all to ourselves ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3035,4807,Taylor Swift,Red (Taylor's Version),Sad Beautiful Tragic (Taylor's Version),"long handwritten note deep in your pocket words, how little they mean when you're a little too late i stood right by the tracks your face in a locket good girls, hopeful they'll be and long they will wait  we had a beautiful magic love there what a sad beautiful tragic love affair in dreams i meet you in warm conversation ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3036,4808,Taylor Swift,Red (Taylor's Version),The Lucky One (Taylor's Version),"new to town with a made-up name in the angel's city, chasing fortune and fame and the camera flashes make it look like a dream  you had it figured out since you were in school everybody loves pretty, everybody loves cool so overnight, you look like a '60s queen  another name goes up in lights like diamonds in the sky  and they'll tell you now, you're the lucky one yeah, they'll tell you now, you're the lucky one but can you tell me now you're the lucky one? oh, oh, oh  now it's big black cars and riviera views and your lover in the foyer doesn't even know you ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3037,4809,Taylor Swift,Red (Taylor's Version),Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),"we good to go?  all i knew this morning when i woke is i know something now, know something now i didn't before and all i've seen since 18 hours ago is green eyes and freckles and your smile in the back of my mind, making me feel like  i just wanna know you better know you better, know you better now i just wanna know you better know you better, know you better now i just wanna know you better know you better, know you better now i just wanna know you, know you, know you  'cause all i know is we said, ""hello"" and your eyes look like coming home all i know is a simple name everything has changed all i know is you held the door you'll be mine, and i'll be yours all i know since yesterday is everything has changed  ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3038,4810,Taylor Swift,Red (Taylor's Version),Starlight (Taylor's Version),"i said, ""oh my, what a marvelous tune"" it was the best night, never would forget how we moved the whole place was dressed to the nines and we were dancing, dancing like we're made of starlight like we're made of starlight  i met bobby on the boardwalk, summer of '45 picked me up late one night out the window we were seventeen and crazy running wild, wild can't remember what song he was playing when we walked in the night we snuck into a yacht club party pretending to be a duchess and a prince  and i said, ""oh my, what a marvelous tune"" it was the best night, never would forget how we moved the whole place was dressed to the nines ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3039,4811,Taylor Swift,Red (Taylor's Version),Begin Again (Taylor's Version),"took a deep breath in the mirror he didn't like it when i wore high heels but i do  turned the lock and put my headphones on he always said he didn't get this song but i do, i do  i walked in expecting you'd be late but you got here early and you stand and wave i walk to you  you pull my chair out and help me in and you don't know how nice that is but i do  and you throw your head back laughing like a little kid i think it's strange that you think i'm funny, 'cause he never did ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3040,4812,Taylor Swift,Red (Taylor's Version),The Moment I Knew (Taylor's Version),"you should've been there should've burst through the door with that ""baby, i'm right here, smile"" and it would've felt like a million little shining stars had just aligned and i would've been so happy  christmas lights glisten i've got my eye on the door just waiting for you to walk in but the time is ticking  people ask me how i've been as i comb back through my memory how you said you'd be here you said you'd be here  and it was like slow motion standing there in my party dress in red lipstick with no one to impress and they're all laughing as i'm looking around the room but there was one thing missing ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
